"개소 
 관리번호",주용도,설치대수,Latitude,Longitude
공002,공원 방범,1,37.5556652,126.9645497
공005,공원 방범,1,37.5527024,127.0168104
공006,공원 방범,1,37.560174,126.9720786
공007,공원 방범,1,37.560174,126.9720786
공011,공원 방범,2,37.566855,126.9708266
공012,공원 방범,2,37.566855,126.9708266
공013,공원 방범,2,37.5642792,126.9684725
공014,공원 방범,2,37.5677753,126.9841779
공015,공원 방범,2,37.5681359,126.9807488
공016,공원 방범,2,37.5681359,126.9807488
공017,공원 방범,2,37.5644117,127.0050125
공018,공원 방범,2,37.5636449,126.9997887
공019,공원 방범,2,37.5636449,126.9997887
공020,공원 방범,2,37.5644696,126.9731549
공021,공원 방범,4,37.55207509,127.0051892
공023,공원 방범,3,37.5509857,127.0054932
공024,공원 방범,2,37.5557874,127.0135488
공025,공원 방범,2,37.5557874,127.0135488
공026,공원 방범,2,37.56220917,127.0245224
공029,공원 방범,2,37.563844,127.018354
공030,공원 방범,2,37.563844,127.018354
공031,공원 방범,2,37.5631015,127.0142425
공032,공원 방범,2,37.55281057,127.0126503
공033,공원 방범,2,37.55715667,127.0157254
공035,공원 방범,2,37.5576541,126.9954649
공036,공원 방범,2,37.55205807,127.0052428
공037,공원 방범,2,37.5543353,127.0085361
공038,공원 방범,2,37.5581081,126.963027
공039,공원 방범,2,37.5581633,127.0179679
공040,공원 방범,3,37.5608639,127.0204825
공041,공원 방범,3,37.56088206,127.0184412
공044,공원 방범,5,37.5674949,127.0181238
공045,공원 방범,3,37.5674949,127.0181238
공046,공원 방범,3,37.5598732,127.0139319
공047,공원 방범,3,35.8746678,128.5957135
공048,공원 방범,2,37.5605762,127.0131982
공049,공원 방범,3,37.563826,126.9712644
공050,공원 방범,3,37.563826,126.9712644
공051,공원 방범,2,37.5576541,126.9954649
공052,공원 방범,3,37.5650049,126.9882022
공053,공원 방범,4,37.5647485,126.9871926
공054,공원 방범,4,37.5647485,126.9871926
공055,공원 방범,4,37.5647485,126.9871926
공056,공원 방범,4,37.5647485,126.9871926
공057,공원 방범,4,37.5680898,126.9802095
공058,공원 방범,3,37.5527787,126.9630572
공059,공원 방범,3,37.5527787,126.9630572
공060,공원 방범,1,37.55918118,127.0206364
