37.5621843,126.9913146,428
37.565727,126.9928821,467
37.5613056,126.9776726,202
37.561769,126.9923773,449
37.5670348,126.9804415,252
37.5669197,126.9807117,252
37.5675139,127.0065887,756
37.5627823,126.9928595,470
37.5629342,126.9918681,448
37.565929,126.9937476,467
37.5649354,127.0058929,730
37.5619483,126.9778042,201
37.5617465,126.9776044,201
37.5617465,126.9776044,201
37.5669261,126.9917962,444
37.5582107,126.9747824,167
37.5621553,126.9772637,201
37.5674517,127.0214099,1053
37.5627241,126.9916435,427
37.565063,126.9931348,468
37.5645049,126.9844318,310
37.5627241,126.9916435,427
37.5650076,127.0018499,635
37.5655338,127.0019583,657
37.5675139,127.0065887,756
37.5627259,126.99206,448
37.563348,126.9758823,181
37.5665742,126.9884798,383
37.5651745,127.0165809,963
37.5622705,126.996153,519
37.5674517,127.0214099,1053
37.5676523,127.0170056,981
