서울특별시 중구 신당동 157-2,37.5625034,127.0213066,9,1059
서울특별시 중구 신당동 163-2,37.5632632,127.023179,9,1075
서울특별시 중구 신당동 163-3,37.563254,127.0233727,7,1092
서울특별시 중구 신당동 164-13,37.5633608,127.0227861,15,1075
서울특별시 중구 신당동 165-39,37.5627364,127.0226742,20,1076
서울특별시 중구 신당동 165-43,37.5626834,127.0221486,11,1076
서울특별시 중구 신당동 165-46,37.562522,127.0218157,10,1059
서울특별시 중구 신당동 165-47,37.5624798,127.0222588,10,1076
서울특별시 중구 신당동 165-52,37.562281,127.0219796,20,1059
서울특별시 중구 신당동 165-60,37.5625152,127.0219686,10,1059
서울특별시 중구 신당동 165-61,37.5624974,127.0221046,10,1059
서울특별시 중구 신당동 166-1,37.5629346,127.0229999,11,1075
서울특별시 중구 신당동 166-27,37.5626586,127.023068,8,1076
서울특별시 중구 신당동 166-7,37.5624013,127.0230069,8,1076
서울특별시 중구 신당동 233-40,37.5645543,127.0125515,3,896
서울특별시 중구 신당동 236-258,37.5639302,127.0106603,19,846
서울특별시 중구 신당동 236-42,37.5627686,127.0126848,10,897
서울특별시 중구 신당동 236-43,37.5625983,127.0125795,9,898
서울특별시 중구 신당동 236-44,37.5624958,127.0124994,9,898
서울특별시 중구 신당동 236-48,37.5620801,127.0121336,9,898
서울특별시 중구 신당동 236-519,37.5622832,127.0122894,15,898
서울특별시 중구 신당동 236-72,37.5617314,127.0114851,9,874
서울특별시 중구 신당동 241-26,37.5631015,127.0142425,13,944
서울특별시 중구 신당동 241-35,37.5629839,127.0141851,4,921
서울특별시 중구 신당동 288-5,37.560883,127.0150957,19,947
서울특별시 중구 신당동 290-42,37.5614336,127.0159668,22,967
서울특별시 중구 신당동 290-44,37.561221,127.0158643,12,967
서울특별시 중구 신당동 290-46,37.5620732,127.0160557,11,966
서울특별시 중구 신당동 290-49,37.5618636,127.0156623,16,966
서울특별시 중구 신당동 290-52,37.5613323,127.0155889,19,967
서울특별시 중구 신당동 290-58,37.5615501,127.016641,6,988
서울특별시 중구 신당동 290-67,37.5613329,127.0162047,19,967
서울특별시 중구 신당동 290-90,37.5609854,127.0157022,20,967
서울특별시 중구 신당동 292-35,37.5620855,127.0157963,23,966
서울특별시 중구 신당동 294-12,37.5602245,127.0146765,13,947
서울특별시 중구 신당동 296-4,37.5606482,127.0136251,6,924
서울특별시 중구 신당동 304-100,37.5635841,127.0127997,4,897
서울특별시 중구 신당동 304-104,37.5638026,127.0129553,4,896
서울특별시 중구 신당동 304-199,37.5632927,127.0125376,14,897
서울특별시 중구 신당동 304-213,37.5623771,127.0115524,4,873
서울특별시 중구 신당동 304-218,37.5639313,127.0128291,7,896
서울특별시 중구 신당동 304-232,37.5642109,127.0127643,10,896
서울특별시 중구 신당동 304-244,37.5631593,127.0118907,8,872
서울특별시 중구 신당동 304-250,37.5632159,127.0116545,19,872
서울특별시 중구 신당동 304-262,37.5624929,127.0108571,20,873
서울특별시 중구 신당동 304-263,37.5623208,127.0108537,30,848
서울특별시 중구 신당동 304-277,37.5626191,127.0109652,17,873
서울특별시 중구 신당동 304-281,37.5630696,127.0118297,8,872
서울특별시 중구 신당동 304-30,37.5626038,127.0137714,8,922
서울특별시 중구 신당동 304-343,37.5633315,127.0129819,5,897
서울특별시 중구 신당동 304-345,37.5632581,127.0129296,5,897
서울특별시 중구 신당동 304-413,37.5610164,127.0127204,16,899
서울특별시 중구 신당동 304-441,37.563561,127.013263,6,921
서울특별시 중구 신당동 304-458,37.5638289,127.0127603,8,896
서울특별시 중구 신당동 304-475,37.5628255,127.0106568,21,847
서울특별시 중구 신당동 304-586,37.5611927,127.0123672,10,899
서울특별시 중구 신당동 304-656,37.5626476,127.0115783,17,873
서울특별시 중구 신당동 304-803,37.5627434,127.0110677,17,873
서울특별시 중구 신당동 304-804,37.5629312,127.0110052,5,872
서울특별시 중구 신당동 304-805,37.5628771,127.0111134,5,872
서울특별시 중구 신당동 304-806,37.5628203,127.0112229,5,872
서울특별시 중구 신당동 304-807,37.5627581,127.0113233,5,872
서울특별시 중구 신당동 307-33,37.5607459,127.0126968,6,900
서울특별시 중구 신당동 307-5,37.5607459,127.0126968,6,900
서울특별시 중구 신당동 307-5,37.5607459,127.0126968,3,900
서울특별시 중구 신당동 308-2,37.5599793,127.0129344,10,901
서울특별시 중구 신당동 308-2,37.5599793,127.0129344,21,901
서울특별시 중구 신당동 309-104,37.5519828,127.013831,13,933
서울특별시 중구 신당동 309-110,37.5521177,127.0136923,9,933
서울특별시 중구 신당동 309-116,37.5524962,127.0139136,9,933
서울특별시 중구 신당동 309-124,37.5517526,127.0136722,17,934
서울특별시 중구 신당동 309-127,37.5519411,127.0135814,17,933
서울특별시 중구 신당동 309-220,37.5529173,127.0141661,9,932
서울특별시 중구 신당동 309-222,37.5526157,127.0139799,10,933
서울특별시 중구 신당동 309-251,37.5527751,127.0140729,1,933
서울특별시 중구 신당동 309-252,37.5527411,127.014543,3,956
서울특별시 중구 신당동 309-252,37.5527411,127.014543,3,956
서울특별시 중구 신당동 309-254,37.5527199,127.0142694,10,956
서울특별시 중구 신당동 309-254,37.5527199,127.0142694,10,956
서울특별시 중구 신당동 309-64,37.5514842,127.0135761,10,934
서울특별시 중구 신당동 309-75,37.5523312,127.0137913,13,933
서울특별시 중구 신당동 309-76,37.552257,127.0139666,9,933
서울특별시 중구 신당동 313-8,37.559221,127.0169761,12,990
서울특별시 중구 신당동 321-77,37.5592532,127.0151058,4,948
서울특별시 중구 신당동 321-9,37.5589217,127.0151204,11,949
서울특별시 중구 신당동 323-2,37.5585215,127.0159723,5,970
서울특별시 중구 신당동 330-206,37.5580548,127.0160859,5,971
서울특별시 중구 신당동 330-218,37.5580501,127.0157295,5,971
서울특별시 중구 신당동 330-342,37.5574157,127.0165923,9,992
서울특별시 중구 신당동 333-110,37.5575851,127.0131403,7,927
서울특별시 중구 신당동 333-121,37.556563,127.0148187,18,951
서울특별시 중구 신당동 333-123,37.5566488,127.0146342,12,951
서울특별시 중구 신당동 333-125,37.5561122,127.0147861,11,952
서울특별시 중구 신당동 333-128,37.5563128,127.0144304,16,952
서울특별시 중구 신당동 333-179,37.5564846,127.0165536,20,993
서울특별시 중구 신당동 333-18,37.5567148,127.0148767,20,951
서울특별시 중구 신당동 333-184,37.5570235,127.0163473,19,972
서울특별시 중구 신당동 333-198,37.5574593,127.0140463,4,927
서울특별시 중구 신당동 333-253,37.5568369,127.0165467,4,993
서울특별시 중구 신당동 333-255,37.5565587,127.0163591,11,972
서울특별시 중구 신당동 333-26,37.5560614,127.0149713,11,952
서울특별시 중구 신당동 333-280,37.5564849,127.0156165,5,972
서울특별시 중구 신당동 333-31,37.5562325,127.0146317,25,952
서울특별시 중구 신당동 333-40,37.5569665,127.0142701,17,951
서울특별시 중구 신당동 333-42,37.5565067,127.0140181,20,928
서울특별시 중구 신당동 333-45,37.557228,127.014184,16,928
서울특별시 중구 신당동 333-46,37.5570334,127.0140723,20,928
서울특별시 중구 신당동 333-59,37.5570215,127.0136254,12,928
서울특별시 중구 신당동 333-66,37.5577316,127.0133025,16,927
서울특별시 중구 신당동 333-82,37.5571355,127.0148689,13,951
서울특별시 중구 신당동 333-9,37.5561961,127.0138275,19,929
서울특별시 중구 신당동 333-91,37.557354,127.0142763,11,950
서울특별시 중구 신당동 338-13,37.558661,127.0120712,7,902
서울특별시 중구 신당동 340-101,37.5565139,127.0125082,28,904
서울특별시 중구 신당동 340-11,37.5560778,127.0120725,12,905
서울특별시 중구 신당동 340-127,37.555934,127.0124457,46,905
서울특별시 중구 신당동 340-131,37.5557874,127.0135488,21,929
서울특별시 중구 신당동 340-18,37.5562171,127.013439,9,929
서울특별시 중구 신당동 340-24,37.555946,127.0133396,10,929
서울특별시 중구 신당동 340-24,37.555946,127.0133396,10,929
서울특별시 중구 신당동 340-34,37.5568278,127.0129737,9,904
서울특별시 중구 신당동 340-38,37.5561691,127.0125388,15,905
서울특별시 중구 신당동 340-38,37.5561691,127.0125388,16,905
서울특별시 중구 신당동 340-45,37.5566371,127.0126899,30,904
서울특별시 중구 신당동 340-56,37.5567588,127.0124891,20,904
서울특별시 중구 신당동 340-88,37.5563918,127.0134243,6,929
서울특별시 중구 신당동 346-427,37.5540504,127.0146526,10,954
서울특별시 중구 신당동 346-441,37.554295,127.0144898,11,954
서울특별시 중구 신당동 346-445,37.5542256,127.0141591,10,931
서울특별시 중구 신당동 346-447,37.554097,127.0140838,7,931
서울특별시 중구 신당동 346-449,37.5540483,127.0143006,5,954
서울특별시 중구 신당동 346-452,37.5539233,127.0143204,10,954
서울특별시 중구 신당동 346-453,37.5538839,127.0140323,19,931
서울특별시 중구 신당동 346-461,37.5537414,127.0144518,13,954
서울특별시 중구 신당동 346-462,37.5538486,127.0153026,8,954
서울특별시 중구 신당동 346-463,37.553269,127.0149605,16,955
서울특별시 중구 신당동 346-464,37.5534644,127.0148312,18,955
서울특별시 중구 신당동 346-470,37.5536547,127.0146385,15,955
서울특별시 중구 신당동 346-474,37.5534919,127.014566,11,955
서울특별시 중구 신당동 346-491,37.5531534,127.0147062,16,955
서울특별시 중구 신당동 346-493,37.553513,127.0151452,6,955
서울특별시 중구 신당동 346-493,37.553513,127.0151452,6,955
서울특별시 중구 신당동 346-493,37.553513,127.0151452,6,955
서울특별시 중구 신당동 346-494,37.5532328,127.014394,8,955
서울특별시 중구 신당동 346-501,37.5528792,127.0146804,4,955
서울특별시 중구 신당동 346-566,37.5534736,127.0153935,10,976
서울특별시 중구 신당동 346-567,37.5531631,127.0152211,10,955
서울특별시 중구 신당동 346-568,37.5529083,127.0150343,10,955
서울특별시 중구 신당동 347-275,37.5552748,127.0130248,17,906
서울특별시 중구 신당동 347-285,37.5553745,127.0128763,13,906
서울특별시 중구 신당동 347-328,37.5554023,127.0127526,15,906
서울특별시 중구 신당동 349-119,37.5529177,127.012808,9,908
서울특별시 중구 신당동 349-123,37.5535037,127.0125298,9,908
서울특별시 중구 신당동 349-130,37.5534174,127.0142772,13,955
서울특별시 중구 신당동 349-131,37.5532997,127.0142063,10,932
서울특별시 중구 신당동 349-134,37.5534584,127.0140119,11,932
서울특별시 중구 신당동 349-135,37.5533101,127.0139448,10,932
서울특별시 중구 신당동 349-136,37.5533629,127.0137868,11,932
서울특별시 중구 신당동 349-137,37.5535176,127.0138606,10,932
서울특별시 중구 신당동 349-138,37.5536334,127.0141431,15,932
