대지위치,Latitude,Longitude,세대,Grid
서울특별시 중구 수하동 40-2,37.5673953,126.9842103,1,307
서울특별시 중구 신당동 193-2,37.5691202,127.0149759,1502,937
서울특별시 중구 신당동 198-3,37.5676805,127.0140157,1076,916
서울특별시 중구 신당동 199-1,37.5673887,127.0130676,776,892
서울특별시 중구 신당동 199-17,37.5673362,127.0135788,1,916
서울특별시 중구 신당동 200-5,37.5669052,127.0129947,1879,893
서울특별시 중구 신당동 213,37.5690395,127.0135065,1,915
서울특별시 중구 신당동 213-48,37.5686005,127.0126271,1,891
서울특별시 중구 신당동 213-51,37.5688172,127.0132095,1,915
서울특별시 중구 신당동 213-67,37.5691587,127.0127816,296,890
서울특별시 중구 신당동 213-8,37.568852,127.0126396,570,891
서울특별시 중구 신당동 217-91,37.569428,127.0149254,1100,937
서울특별시 중구 신당동 217-95,37.5693272,127.0137586,96,914
서울특별시 중구 신당동 282-103,37.5623261,127.0166625,1,987
서울특별시 중구 신당동 772,37.5691305,127.0108146,604,840
서울특별시 중구 신당동 773,37.5686858,127.0105375,1,841
서울특별시 중구 신당동 775,37.5684231,127.011236,526,866
서울특별시 중구 신당동 776,37.5680858,127.0119502,298,867
서울특별시 중구 신당동 777,37.5686442,127.0119168,1,866
서울특별시 중구 예관동 126,37.5631688,126.9975166,1,567
서울특별시 중구 예관동 17-3,37.5656063,126.9979616,1,564
서울특별시 중구 예관동 17-3,37.5656063,126.9979616,1,564
서울특별시 중구 예관동 19-5,37.565446,126.9979694,1,565
서울특별시 중구 예관동 22-1,37.5652976,126.9980019,4,565
서울특별시 중구 예관동 43-1,37.5648196,126.998057,1,565
서울특별시 중구 예관동 70-15,37.5631864,126.9988497,1,591
서울특별시 중구 예장동 8-176,37.5575921,126.9869443,1,354
서울특별시 중구 오장동 127-1,37.5656145,127.0008468,513,634
서울특별시 중구 오장동 145-9,37.5651762,127.0009092,1,635
서울특별시 중구 을지로1가 50-1,37.5658166,126.9787644,1,215
서울특별시 중구 을지로2가 149-10,37.5661111,126.9867961,1,345
서울특별시 중구 을지로2가 164-6,37.5654321,126.986743,1,346
서울특별시 중구 을지로2가 199-21,37.5658185,126.9836827,1,291
서울특별시 중구 을지로2가 199-21,37.5658185,126.9836827,1,291
서울특별시 중구 을지로2가 9-7,37.5660795,126.9839633,1,309
서울특별시 중구 을지로3가 139-1,37.5664625,126.9930171,1,466
서울특별시 중구 을지로3가 282-8,37.5664121,126.9941848,1,489
서울특별시 중구 을지로3가 302-2,37.5653338,126.9919965,3,446
서울특별시 중구 을지로3가 302-2,37.5653338,126.9919965,3,446
서울특별시 중구 을지로5가 35-6,37.5667362,127.0033878,1,679
서울특별시 중구 을지로6가 17-11,37.5691257,127.0061701,1,725
서울특별시 중구 을지로6가 17-14,37.5690513,127.0059967,24,726
서울특별시 중구 을지로6가 17-15,37.5689311,127.0064839,41,755
서울특별시 중구 을지로6가 17-18,37.5688811,127.006222,23,726
서울특별시 중구 을지로6가 17-2,37.5686986,127.0076666,1,784
서울특별시 중구 을지로6가 18-11,37.5691569,127.0096652,1,812
서울특별시 중구 을지로6가 18-185,37.568063,127.0084776,2525,785
서울특별시 중구 을지로6가 18-187,37.5679915,127.0068338,16,756
서울특별시 중구 을지로6가 18-21,37.5668355,127.0073743,4587,757
서울특별시 중구 을지로6가 18-35,37.5674458,127.0080556,1685,785
서울특별시 중구 을지로6가 21-31,37.56572,127.0070473,2281,758
서울특별시 중구 을지로6가 30-5,37.566063,127.0057331,1,729
서울특별시 중구 을지로7가 105,37.5652675,127.0084173,1614,788
서울특별시 중구 인현동2가 120-22,37.5642403,126.9957387,1,517
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 1-2,37.5691909,127.0012892,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 12-2,37.5691415,127.0011042,1,630
서울특별시 중구 주교동 19-1,37.5686839,127.0007911,789,631
서울특별시 중구 주교동 19-14,37.5681303,127.0007566,282,632
서울특별시 중구 주교동 26,37.5690261,127.0005601,1,608
서울특별시 중구 주교동 96-1,37.568624,126.9985154,1,585
서울특별시 중구 주자동 42-2,37.5608196,126.9898819,1,410
서울특별시 중구 중림동 116,37.5583548,126.9687772,1,65
서울특별시 중구 중림동 128-33,37.5582293,126.9690517,1,65
서울특별시 중구 중림동 473-4,37.5599705,126.967657,1,48
서울특별시 중구 충무로1가 24-3,37.561314,126.984809,1,314
서울특별시 중구 충무로1가 52-41,37.5606104,126.9817919,1,278
서울특별시 중구 충무로1가 52-5,37.5609008,126.9809889,1,259
서울특별시 중구 충무로1가 54,37.5603075,126.9808306,23,259
서울특별시 중구 충무로2가 109-2,37.5608222,126.9853555,1,333
서울특별시 중구 충무로2가 65-6,37.5611147,126.9858338,1,332
서울특별시 중구 충무로2가 65-9,37.5612169,126.9853536,1081,332
서울특별시 중구 충무로5가 22-1,37.5638268,127.0015826,1,636
서울특별시 중구 충무로5가 8-9,37.5631007,127.0009585,1,637
서울특별시 중구 충무로5가 8-9,37.5631007,127.0009585,1,637
서울특별시 중구 태평로2가 68-2,37.5633323,126.9771809,5,200
서울특별시 중구 필동2가 7-3,37.5609546,126.9940861,1,495
서울특별시 중구 황학동 2545,37.5708733,127.0213284,658,1050
서울특별시 중구 황학동 370-1,37.5682947,127.0191683,1,1018
서울특별시 중구 황학동 729,37.5657684,127.0195184,1,1021
서울특별시 중구 황학동 730,37.5658869,127.0193618,1,1021
서울특별시 중구 황학동 731,37.5660476,127.0192929,1,1021
서울특별시 중구 회현동1가 202-10,37.5611341,126.9799285,97,239
서울특별시 중구 회현동1가 204,37.5603299,126.9795682,508,240
서울특별시 중구 회현동2가 1-9,37.5588838,126.9837531,1,299
서울특별시 중구 회현동2가 1-9,37.5588838,126.9837531,1,299
서울특별시 중구 흥인동 15,37.5658469,127.0178059,1,1003
서울특별시 중구 흥인동 3-1,37.5677274,127.0166118,219,981
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
서울특별시 중구 흥인동 63,37.5657419,127.0171994,1,983
